Standard
Act CXVI of 1996
Ministerial Decree 3/2003. (III. 11.) FMM-ESzCsM
Ministerial Decree 4/2002. (II. 20.) SzCsM-E?M
Ministerial Decree 4/2002. (X. 7.) KvVM
Ministerial Decree 4/2011. (I. 14.) VM
Ministerial Decree 5/1993. (XI. 26.) M?M
BM Decree 5/2015. (II.27.) NTSZ
Ministerial Decree 5/2020. (II. 6.) ITM
Ministerial Decree 6/1996. (II. 21.) IKM
Ministerial Decree 6/2001. (III. 19.) GM
Ministerial Decree 6/2002. (XI. 5.) KvVM
Ministerial Decree 6/2009. (IV. 14.) KvVM-E?M-FVM
Ministerial Decree 6/2011. (I. 14.) VM
Ministerial Decree 7/2003. (V. 16.) KvVM-GKM
Ministerial Decree 7/2006. (V. 24.)
Ministerial Decree 7/2007. (III. 6.) IRM
Ministerial Decree 7/2012. (III. 7.) BM
Ministerial Decree 8/1998. (III. 31.) M?M
Ministerial Decree 8/2001. (III. 30.) GM
Ministerial Decree 8/2002. (II. 16.) GM
Ministerial Decree 8/2006. (II. 27.) GKM
Ministerial Decree 8/2018. (VIII. 17.) ITM
Ministerial Decree 9/2001. (IV. 5.) GM
Ministerial Decree 9/2006. (II. 27.) IM
Ministerial Decree 9/2023. (V. 25.) ?KM
Ministerial Decree 10/2000. (VI. 2.) K?M-E?M-FVM-KHVM
Ministerial Decree 10/2010. (VIII. 18.) VM
Ministerial Decree 10/2016. (IV. 5.) NGM
Ministerial Decree 11/2010. (III. 4.) KHEM
Ministerial Decree 12/2005. (VI. 17.) KvVM
Ministerial Decree 13/1997. (IX. 3.) KHVM
Ministerial Decree 13/2001. (V. 9.) K?M
Ministerial Decree 13/2002. (XI. 28.) ESzCsM-FMM
Ministerial Decree 14/1997. (IX. 3.) KHVM
Ministerial Decree 14/2004. (IV. 19.) FMM
Ministerial Decree 14/2005. (VI. 28.) KvVM
Ministerial Decree 14/2010. (V. 11.) KvVM
Ministerial Decree 15/2001. (VI. 6.) K?M
Ministerial Decree 16/2000. (VI. 8.) E?M
Ministerial Decree 16/2008. (VIII. 30.) NFGM
Ministerial Decree 16/2017. (V. 25.) NFM
Ministerial Decree 17/1993. (VII. 1.) KHVM
Ministerial Decree 18/1996. (VI. 13.) KHVM
Ministerial Decree 18/1998. (VII. 3.) KHVM
Ministerial Decree 18/2008. (XII. 3.) SzMM
Ministerial Decree 19/2007. (VIII. 29.)
Ministerial Decree 20/1979. (IX. 18.) KPM
Ministerial Decree 20/1984. (XII. 21.) KM
Ministerial Decree 20/2006. (IV. 5.) KvVM
Ministerial Decree 21/1986. (XII. 28.) M?M
Ministerial Decree 21/2023. (VIII. 30.) GFM
Ministerial Decree 22/1992. (XII. 29.) KTM
Ministerial Decree 22/2005. (VI. 24.) E?M
Ministerial Decree 22/2005. (XII. 21.) FMM
Ministerial Decree 22/2009. (VII. 23.) ?M
Ministerial Decree 22/2010. (V. 7.) E?M
Ministerial Decree 23/1997. (VII. 18.) NM
Ministerial Decree 24/1990. (II. 7.) MT
Ministerial Decree 24/2009. (IX. 30.) NFGM
Ministerial Decree 25/1998. (XII. 27.) E?M
Ministerial Decree 25/2000. (IX. 30.) E?M-SzCsM
Ministerial Decree 25/2004. (XII. 20.) KvVM
Ministerial Decree 26/2000. (IX. 30.) E?M
Ministerial Decree 26/2007. (III. 1.) GKM-HM-KvVM
Ministerial Decree 26/2014. (III. 25.) VM
Ministerial Decree 26/2021. (VII. 29.) AM
Ministerial Decree 27/1995. (VII. 25.) NM
Ministerial Decree 27/1996. (VIII. 28.) NM
Ministerial Decree 27/2004. (XII. 25.) KvVM
Ministerial Decree 27/2005. (XII. 6.) KvVM
Ministerial Decree 27/2008. (XII. 3.) KvVM-E?M
Ministerial Decree 28/1987. (VIII. 9.) MT
Ministerial Decree 28/2004. (XII. 25.) KvVM
Ministerial Decree 28/2011. (IX. 6.) BM
Ministerial Decree 28/2016. (VIII. 23.) NGM
Ministerial Decree 29/1987. (VIII. 9.) MT
Ministerial Decree 29/2001. (XII. 23.) K?M-GM
Ministerial Decree 29/2011. (VIII. 3.) NGM
Ministerial Decree 30/1995. (VII. 25.) IKM
Ministerial Decree 30/1996. (XII. 6.) BM
Ministerial Decree 30/2001. (X. 3.) E?M
0
Ministerial Decree 31/1995. (VII. 25.) IKM
Ministerial Decree 31/2004. (XII. 30.) KvVM
Ministerial Decree 32/2009. (XII. 29.) NFGM
Ministerial Decree 33/1998. (VI. 24.) NM
Ministerial Decree 33/2016. (XI. 29.) EMMI
Ministerial Decree 34/2021. (VII. 26.) ITM
Ministerial Decree 35/2014. (XI. 19.) NGM
Ministerial Decree 35/2016. (IX. 27.) NGM
Ministerial Decree 37/2007. (XII. 13.) ?TM
Ministerial Decree 38/2009. (VIII. 7.) KHEM
Ministerial Decree 39/2009. (VIII. 7.) KHEM
Ministerial Decree 39/2021. (VII. 30.) ITM
Ministerial Decree 40/2010. (V. 12.) KHEM
Ministerial Decree 40/2017. (XII. 4.) NGM
Ministerial Decree 41/2000. (XII. 20.) E?M-K?M
Ministerial Decree 41/2017. (XII. 29.) BM
Ministerial Decree 43/1999. (XII. 26.) KHVM
Ministerial Decree 43/2016. (XI. 23.) NGM
Ministerial Decree 43/2024. (XII. 20.) ?KM
Ministerial Decree 44/2016. (XI. 28.) NGM
Ministerial Decree 45/2004. (VII. 26.) BM-KvVM
BM Decree 45/2011. (XII. 7.)
BM Decree 47/1997. (VIII. 26.)
Ministerial Decree 47/1999. (VIII. 4.) GM
Ministerial Decree 47/2003. (VIII. 8.) ESzCsM
Ministerial Decree 47/2011. (XII. 15.) BM
Ministerial Decree 47/2012. (X. 4.) BM
Ministerial Decree 49/2015. (XI. 6.) EMMI
Ministerial Decree 50/1999. (XI. 3.) E?M
Ministerial Decree 51/2013. (IX. 6.) NFM
Ministerial Decree 51/2014. (IV. 29.) VM
Ministerial Decree 53/2017. (X. 18.) FM
BM Decree 54/2014. (XII.5.) OTSZ
Ministerial Decree 54/2021. (XI. 5.) ITM
